id,timestamp,source_ip,destination_ip,protocol,threat_level
1,2024-01-01 00:00:00,142.108.31.200,164.79.84.146,HTTP,high
2,2024-01-01 00:01:00,88.156.169.214,40.113.18.153,HTTPS,medium
3,2024-01-01 00:02:00,219.89.255.254,190.159.92.143,HTTPS,critical
4,2024-01-01 00:03:00,113.210.42.52,189.85.240.69,HTTPS,low
5,2024-01-01 00:04:00,124.163.215.74,220.5.46.128,HTTP,critical
6,2024-01-01 00:05:00,43.206.132.118,179.121.34.7,HTTPS,critical
7,2024-01-01 00:06:00,142.108.31.200,40.170.156.238,HTTPS,critical
8,2024-01-01 00:07:00,156.74.141.162,130.70.67.99,HTTPS,medium
9,2024-01-01 00:08:00,9.94.130.159,15.127.192.56,HTTPS,high
10,2024-01-01 00:09:00,156.8.62.24,128.20.170.177,HTTP,low
11,2024-01-01 00:10:00,65.171.28.84,40.113.18.153,HTTP,medium
12,2024-01-01 00:11:00,153.165.130.71,117.117.16.171,TCP,low
13,2024-01-01 00:12:00,113.210.42.52,52.145.112.142,HTTP,critical
14,2024-01-01 00:13:00,30.67.241.95,140.116.41.74,HTTPS,low
15,2024-01-01 00:14:00,150.83.8.126,1.161.160.16,TCP,critical
16,2024-01-01 00:15:00,97.76.191.181,117.117.16.171,UDP,critical
17,2024-01-01 00:16:00,65.171.28.84,179.121.34.7,HTTP,low
18,2024-01-01 00:17:00,43.206.132.118,220.5.46.128,UDP,high
19,2024-01-01 00:18:00,88.156.169.214,79.195.95.193,TCP,medium
20,2024-01-01 00:19:00,43.206.132.118,57.87.56.196,TCP,medium
21,2024-01-01 00:20:00,219.89.255.254,115.122.161.93,HTTPS,critical
22,2024-01-01 00:21:00,219.89.255.254,140.116.41.74,HTTPS,high
23,2024-01-01 00:22:00,100.144.34.3,54.175.112.120,ICMP,high
24,2024-01-01 00:23:00,184.104.146.176,93.117.76.140,TCP,medium
25,2024-01-01 00:24:00,30.67.241.95,79.195.95.193,ICMP,critical
26,2024-01-01 00:25:00,36.90.10.17,73.172.92.79,HTTP,low
27,2024-01-01 00:26:00,153.165.130.71,40.113.18.153,ICMP,high
28,2024-01-01 00:27:00,6.175.127.153,52.145.112.142,HTTPS,medium
29,2024-01-01 00:28:00,7.102.13.41,126.33.146.99,TCP,high
30,2024-01-01 00:29:00,26.16.35.46,47.110.238.251,HTTPS,critical
31,2024-01-01 00:30:00,88.156.169.214,57.93.71.169,HTTPS,high
32,2024-01-01 00:31:00,153.165.130.71,79.195.95.193,HTTP,medium
33,2024-01-01 00:32:00,187.140.90.252,220.5.46.128,HTTP,medium
34,2024-01-01 00:33:00,219.89.255.254,12.95.5.194,TCP,high
35,2024-01-01 00:34:00,92.197.20.201,78.43.233.6,ICMP,critical
36,2024-01-01 00:35:00,65.150.84.5,15.127.192.56,HTTP,critical
37,2024-01-01 00:36:00,156.8.62.24,120.132.1.114,TCP,high
38,2024-01-01 00:37:00,153.236.40.118,209.224.225.98,UDP,low
39,2024-01-01 00:38:00,219.89.255.254,100.161.236.0,ICMP,low
40,2024-01-01 00:39:00,153.236.40.118,57.93.71.169,UDP,medium
41,2024-01-01 00:40:00,6.175.127.153,57.87.56.196,HTTPS,low
42,2024-01-01 00:41:00,100.144.34.3,54.175.112.120,HTTPS,critical
43,2024-01-01 00:42:00,113.210.42.52,52.145.112.142,UDP,medium
44,2024-01-01 00:43:00,63.255.84.119,220.5.46.128,ICMP,high
45,2024-01-01 00:44:00,89.145.16.105,135.122.150.81,HTTP,high
46,2024-01-01 00:45:00,163.56.130.96,126.250.170.201,TCP,high
47,2024-01-01 00:46:00,27.216.250.149,6.34.147.167,TCP,critical
48,2024-01-01 00:47:00,223.50.223.149,54.175.112.120,HTTPS,low
49,2024-01-01 00:48:00,43.206.132.118,53.152.123.44,TCP,low
50,2024-01-01 00:49:00,89.145.16.105,6.34.147.167,TCP,low
51,2024-01-01 00:50:00,27.216.250.149,15.127.192.56,UDP,critical
52,2024-01-01 00:51:00,97.76.191.181,190.159.92.143,HTTP,low
53,2024-01-01 00:52:00,180.113.122.44,79.195.95.193,UDP,medium
54,2024-01-01 00:53:00,65.131.39.100,40.113.18.153,HTTP,high
55,2024-01-01 00:54:00,119.141.75.236,188.136.246.170,UDP,high
56,2024-01-01 00:55:00,62.230.139.54,15.127.192.56,TCP,medium
57,2024-01-01 00:56:00,26.16.35.46,140.116.41.74,HTTPS,critical
58,2024-01-01 00:57:00,91.102.243.5,6.34.147.167,ICMP,high
59,2024-01-01 00:58:00,218.47.105.25,57.93.71.169,UDP,high
60,2024-01-01 00:59:00,34.121.96.160,68.90.155.223,HTTPS,high
61,2024-01-01 01:00:00,153.236.40.118,6.34.147.167,HTTPS,low
62,2024-01-01 01:01:00,92.197.20.201,6.34.147.167,HTTP,high
63,2024-01-01 01:02:00,193.210.100.45,47.110.238.251,HTTP,high
64,2024-01-01 01:03:00,62.230.139.54,128.20.170.177,HTTP,critical
65,2024-01-01 01:04:00,187.140.90.252,211.221.16.39,ICMP,low
66,2024-01-01 01:05:00,65.131.39.100,164.79.84.146,HTTPS,medium
67,2024-01-01 01:06:00,27.216.250.149,47.110.238.251,UDP,critical
68,2024-01-01 01:07:00,112.122.189.210,79.195.95.193,TCP,critical
69,2024-01-01 01:08:00,63.255.84.119,130.70.67.99,ICMP,medium
70,2024-01-01 01:09:00,63.255.84.119,57.87.56.196,ICMP,low
71,2024-01-01 01:10:00,156.74.141.162,12.95.5.194,ICMP,high
72,2024-01-01 01:11:00,194.2.107.123,40.113.18.153,HTTPS,high
